data_vencimento,preço,data_preco
2029-01-01,0.0799,cinco_anos_atras
2030-01-01,0.08199999999999999,cinco_anos_atras
2031-01-01,0.08220000000000001,cinco_anos_atras
2015-05-01,0.1264,dez_anos_atras
2015-06-01,0.12858,dez_anos_atras
2015-07-01,0.13015000000000002,dez_anos_atras
2015-08-01,0.131,dez_anos_atras
2015-09-01,0.1316,dez_anos_atras
2015-10-01,0.1322,dez_anos_atras
2015-11-01,0.1326,dez_anos_atras
2016-01-01,0.1328,dez_anos_atras
2016-02-01,0.1326,dez_anos_atras
2016-03-01,0.1325,dez_anos_atras
2016-04-01,0.1326,dez_anos_atras
2016-05-01,0.132,dez_anos_atras
2016-06-01,0.1319,dez_anos_atras
2016-07-01,0.132,dez_anos_atras
2016-10-01,0.131,dez_anos_atras
2017-01-01,0.12990000000000002,dez_anos_atras
2017-04-01,0.1291,dez_anos_atras
2017-07-01,0.12890000000000001,dez_anos_atras
2017-10-01,0.1282,dez_anos_atras
2018-01-01,0.1276,dez_anos_atras
2018-04-01,0.1272,dez_anos_atras
2018-07-01,0.12710000000000002,dez_anos_atras
2019-01-01,0.1264,dez_anos_atras
2019-07-01,0.12619999999999998,dez_anos_atras
2020-01-01,0.1253,dez_anos_atras
2021-01-01,0.1246,dez_anos_atras
2022-01-01,0.1244,dez_anos_atras
2023-01-01,0.1241,dez_anos_atras
2024-01-01,0.1245,dez_anos_atras
2025-01-01,0.124,dez_anos_atras
